column_name,dtype_train,unique_including_null_train,unique_non_null_train,null_percent_train,mean_train,median_train,std_train,min_train,max_train,dtype_test,unique_including_null_test,unique_non_null_test,null_percent_test,mean_test,median_test,std_test,min_test,max_test,present_in_train,present_in_test,dtype_mismatch,unique_non_null_gap_test_minus_train,null_gap_test_minus_train,mean_gap_test_minus_train,median_gap_test_minus_train,std_gap_test_minus_train,min_gap_test_minus_train,max_gap_test_minus_train,max_null_percent,has_difference
num_op_rev_tl,float64,57,56,15.07,8.202895879154871,7.0,4.1506188666695945,0.0,62.0,float64,60,60,0.0,8.431786176515988,8.0,4.664380933323565,0.0,83.0,True,True,False,4,-15.07,0.22889029736111688,1.0,0.5137620666539702,0.0,21.0,15.07,True
num_rev_accts,float64,86,85,15.07,15.157596632416777,14.0,7.7922966355769585,0.0,105.0,float64,92,91,0.0,14.883600811220298,13.0,8.289378962670591,2.0,118.0,True,True,False,6,-15.07,-0.27399582119647903,-1.0,0.49708232709363287,2.0,13.0,15.07,True
num_rev_tl_bal_gt_0,float64,37,36,15.07,5.738744630830962,5.0,3.044354702050104,0.0,38.0,float64,43,43,0.0,5.809237820444317,5.0,3.3466977479569215,0.0,45.0,True,True,False,7,-15.07,0.07049318961335516,0.0,0.3023430459068175,0.0,7.0,15.07,True
num_sats,float64,63,62,12.57,11.393785090398016,11.0,5.011550855769168,0.0,84.0,float64,72,72,0.0,11.894536862228238,11.0,5.615118843634477,0.0,90.0,True,True,False,10,-12.57,0.5007517718302221,0.0,0.6035679878653086,0.0,6.0,12.57,True
num_tl_120dpd_2m,float64,4,3,16.81,0.000763093105092873,0.0,0.028622181702757005,0.0,2.0,float64,6,5,4.57,0.0007614497405845247,0.0,0.03016912445630646,0.0,6.0,True,True,False,2,-12.239999999999998,-1.6433645083483751e-06,0.0,0.0015469427535494545,0.0,4.0,16.81,True
num_tl_30dpd,float64,6,5,15.07,0.003030218857556987,0.0,0.059295710270309804,0.0,4.0,float64,5,5,0.0,0.004041843289518992,0.0,0.0679647557324736,0.0,4.0,True,True,False,0,-15.07,0.0010116244319620048,0.0,0.008669045462163794,0.0,0.0,15.07,True
num_tl_90g_dpd_24m,float64,23,22,15.07,0.08209620439836267,0.0,0.4453972988426513,0.0,24.0,float64,25,25,0.0,0.0943183842125886,0.0,0.5227582355733954,0.0,39.0,True,True,False,3,-15.07,0.012222179814225936,0.0,0.07736093673074412,0.0,15.0,15.07,True
num_tl_op_past_12m,float64,27,26,15.07,1.918232069311206,2.0,1.5734159231819338,0.0,26.0,float64,28,28,0.0,2.1709471734406725,2.0,1.8538579594409748,0.0,30.0,True,True,False,2,-15.07,0.2527151041294664,0.0,0.28044203625904096,0.0,4.0,15.07,True
open_acc,float64,63,62,0.01,11.187059524984022,10.0,4.987517483565295,0.0,84.0,float64,73,73,0.0,11.948643417756088,11.0,5.633119012956561,1.0,90.0,True,True,False,11,-0.01,0.761583892772066,1.0,0.645601529391266,1.0,6.0,0.01,True
pct_tl_nvr_dlq,float64,481,480,15.1,94.7092758009185,100.0,8.066827466788215,15.0,100.0,float64,547,547,0.0,93.92431304100023,97.4,8.87539914942094,0.0,100.0,True,True,False,67,-15.1,-0.7849627599182725,-2.5999999999999943,0.8085716826327243,-15.0,0.0,15.1,True
percent_bc_gt_75,float64,181,180,11.61,51.98105879156072,50.0,34.61192520712364,0.0,100.0,float64,187,186,1.01,47.527109601397115,50.0,36.0544579725007,0.0,100.0,True,True,False,6,-10.6,-4.4539491901636055,0.0,1.4425327653770594,0.0,0.0,11.61,True
pub_rec,float64,27,26,0.01,0.1605634648628013,0.0,0.5108616490499216,0.0,63.0,float64,28,28,0.0,0.23377622626723185,0.0,0.649777803939869,0.0,86.0,True,True,False,2,-0.01,0.07321276140443056,0.0,0.13891615488994735,0.0,23.0,0.01,True
pub_rec_bankruptcies,float64,11,10,0.29,0.1066544495635827,0.0,0.3326342350466316,0.0,12.0,float64,11,11,0.0,0.13318847290991345,0.0,0.38597478380792355,0.0,11.0,True,True,False,1,-0.29,0.026534023346330746,0.0,0.05334054876129196,0.0,-1.0,0.29,True
revol_bal,int64,58142,58142,0.0,16230.15743522766,11764.0,20676.213005512618,0.0,2568995.0,int64,62072,62072,0.0,17685.476481554044,11996.0,24195.02918585079,0.0,2904836.0,True,True,False,3930,0.0,1455.3190463263836,232.0,3518.8161803381736,0.0,335841.0,0.0,True
row_id,int64,466287,466287,0.0,233144.0,233144.0,134605.60682230143,1.0,466287.0,int64,421095,421095,0.0,210548.0,210548.0,121559.80013968433,1.0,421095.0,True,True,False,-45192,0.0,-22596.0,-22596.0,-13045.806682617098,0.0,-45192.0,0.0,True
tax_liens,float64,25,24,0.02,0.03384729569138233,0.0,0.32970674848224635,0.0,63.0,float64,25,25,0.0,0.0645555041023997,0.0,0.44423082827294014,0.0,85.0,True,True,False,1,-0.02,0.030708208411017367,0.0,0.11452407979069379,0.0,22.0,0.02,True
term_months,Int16,2,2,0.0,42.605356786700035,36.0,10.719051777644394,36.0,60.0,Int16,2,2,0.0,43.860763010722046,36.0,11.263526020986756,36.0,60.0,True,True,False,0,0.0,1.2554062240220105,0.0,0.5444742433423624,0.0,0.0,0.0,True
tot_coll_amt,float64,6322,6321,15.07,191.91305292024717,0.0,14630.177663652596,0.0,9152545.0,float64,8350,8350,0.0,257.478241251974,0.0,2240.648162185458,0.0,496651.0,True,True,False,2029,-15.07,65.56518833172683,0.0,-12389.529501467137,0.0,-8655894.0,15.07,True
tot_cur_bal,float64,220691,220690,15.07,138801.21672125268,81537.0,152114.44105840314,0.0,8000078.0,float64,230329,230329,0.0,140075.5452451347,79729.0,155269.60396495508,0.0,4447397.0,True,True,False,9639,-15.07,1274.3285238820245,-1808.0,3155.1629065519373,0.0,-3552681.0,15.07,True
tot_hi_cred_lim,float64,225942,225941,15.07,168347.70722025397,110421.0,170109.01821227858,0.0,9999999.0,float64,237207,237207,0.0,173407.0102399696,111405.0,175672.21583103534,2500.0,9999999.0,True,True,False,11266,-15.07,5059.303019715619,984.0,5563.197618756763,2500.0,0.0,15.07,True
total_acc,float64,113,112,0.01,25.064432138429797,23.0,11.600136486904509,1.0,156.0,float64,126,126,0.0,25.493468219760388,24.0,12.097199535969331,4.0,169.0,True,True,False,14,-0.01,0.42903608133059024,1.0,0.49706304906482224,3.0,13.0,0.01,True
total_bal_ex_mort,float64,117515,117514,10.73,46000.902963794004,34987.0,43635.76044225264,0.0,2688920.0,float64,128720,128720,0.0,52221.989479808595,39596.0,49074.93951774256,0.0,2921551.0,True,True,False,11206,-10.73,6221.086516014591,4609.0,5439.179075489919,0.0,232631.0,10.73,True
total_bc_limit,float64,12191,12190,10.73,20122.035749548955,14200.0,19646.35891463738,0.0,1090700.0,float64,5097,5097,0.0,21958.208957598643,15200.0,21840.371112201712,0.0,834300.0,True,True,False,-7093,-10.73,1836.1732080496877,1000.0,2194.0121975643306,0.0,-256400.0,10.73,True
total_il_high_credit_limit,float64,104845,104844,15.07,37658.94783478237,28259.0,39743.883081637534,0.0,1241783.0,float64,115868,115868,0.0,43478.64568327812,32970.0,43942.71380131932,0.0,2101913.0,True,True,False,11024,-15.07,5819.697848495751,4711.0,4198.830719681784,0.0,860130.0,15.07,True
total_rev_hi_lim,float64,14613,14612,15.07,30379.002020145905,22800.0,37247.05741911595,0.0,9999999.0,float64,10694,10694,0.0,33657.70758617414,24600.0,37664.042341186774,0.0,9999999.0,True,True,False,-3918,-15.07,3278.705566028235,1800.0,416.98492207082745,0.0,0.0,15.07,True
