column_name,train_n_unique,train_null_percent,train_is_numeric,train_is_object,train_is_mixed_type,train_is_numeric_object,train_is_fully_null,train_is_constant,test_n_unique,test_null_percent,test_is_numeric,test_is_object,test_is_mixed_type,test_is_numeric_object,test_is_fully_null,test_is_constant,max_null_percent,null_gap_test_minus_train,present_in_train,present_in_test,train_dtype,test_dtype,dtype_mismatch
num_tl_120dpd_2m,4,16.81,True,False,False,False,False,False,6,4.57,True,False,False,False,False,False,16.81,-12.239999999999998,True,True,float64,float64,False
pct_tl_nvr_dlq,481,15.1,True,False,False,False,False,False,547,0.0,True,False,False,False,False,False,15.1,-15.1,True,True,float64,float64,False
num_rev_accts,86,15.07,True,False,False,False,False,False,92,0.0,True,False,False,False,False,False,15.07,-15.07,True,True,float64,float64,False
bc_util,1294,11.64,True,False,False,False,False,False,1321,1.0,True,False,False,False,False,False,11.64,-10.64,True,True,float64,float64,False
percent_bc_gt_75,181,11.61,True,False,False,False,False,False,187,1.01,True,False,False,False,False,False,11.61,-10.6,True,True,float64,float64,False
bc_open_to_buy,47224,11.58,True,False,False,False,False,False,51128,0.94,True,False,False,False,False,False,11.58,-10.64,True,True,float64,float64,False
mths_since_recent_bc,403,11.5,True,False,False,False,False,False,427,0.9,True,False,False,False,False,False,11.5,-10.6,True,True,float64,float64,False
emp_title,205477,5.92,False,True,False,False,False,False,120813,5.67,False,True,False,False,False,False,5.92,-0.25,True,True,str,str,False
emp_length,12,4.51,False,True,False,False,False,False,12,5.66,False,True,False,False,False,False,5.66,1.1500000000000004,True,True,str,str,False
last_pymnt_d,107,0.08,False,True,False,False,False,False,19,0.07,False,True,False,False,False,False,0.08,-0.009999999999999995,True,True,str,str,False
revol_util,1270,0.07,False,True,False,False,False,False,1212,0.04,False,True,False,False,False,False,0.07,-0.030000000000000006,True,True,str,str,False
title,63133,0.0,False,True,False,False,False,False,28,0.03,False,True,False,False,False,False,0.03,0.03,True,True,str,str,False
earliest_cr_line,665,0.01,False,True,False,False,False,False,668,0.0,False,True,False,False,False,False,0.01,-0.01,True,True,str,str,False
last_credit_pull_d,112,0.01,False,True,False,False,False,False,20,0.0,False,True,False,False,False,False,0.01,-0.01,True,True,str,str,False
addr_state,50,0.0,False,True,False,False,False,False,49,0.0,False,True,False,False,False,False,0.0,0.0,True,True,str,str,False
annual_inc,31902,0.0,True,False,False,False,False,False,26903,0.0,True,False,False,False,False,False,0.0,0.0,True,True,float64,float64,False
